Transaction_ID,Risk_Incident,Risk_Type,Incident_Severity,Error_Code
TXN00086,0,None,None,None
TXN00087,0,None,None,None
TXN00088,0,None,None,None
TXN00089,1,Error,Low,F001
TXN00090,0,None,None,None
TXN00091,0,None,None,None
TXN00092,0,None,None,None
TXN00093,0,None,None,None
TXN00094,0,None,None,None
TXN00095,0,None,None,None
TXN00096,0,None,None,None
TXN00097,0,None,None,None
TXN00098,0,None,None,None
TXN00099,0,None,None,None
TXN00100,0,None,None,None
TXN00101,0,None,None,None
TXN00102,0,None,None,None
TXN00103,0,None,None,None
TXN00104,0,None,None,None
TXN00105,1,Fraud,High,E002
TXN00106,0,None,None,None
TXN00107,0,None,None,None
TXN00108,0,None,None,None
TXN00109,0,None,None,None
TXN00110,0,None,None,None
TXN00111,0,None,None,None
TXN00112,0,None,None,None
TXN00113,1,Fraud,Medium,F001
TXN00114,0,None,None,None
TXN00115,0,None,None,None
TXN00116,1,Fraud,High,F001
TXN00117,0,None,None,None
TXN00118,0,None,None,None
TXN00119,1,Misstatement,Medium,M003
TXN00120,0,None,None,None
TXN00121,0,None,None,None
TXN00122,1,Misstatement,Medium,E002
TXN00123,0,None,None,None
TXN00124,0,None,None,None
TXN00125,0,None,None,None
TXN00126,0,None,None,None
TXN00127,0,None,None,None
TXN00128,1,Misstatement,Low,F001
TXN00129,0,None,None,None
TXN00130,0,None,None,None
TXN00131,0,None,None,None
TXN00132,0,None,None,None
TXN00133,0,None,None,None
TXN00134,0,None,None,None
TXN00135,1,Error,High,M003
TXN00136,0,None,None,None
TXN00137,0,None,None,None
TXN00138,0,None,None,None
TXN00139,0,None,None,None
TXN00140,1,Error,Low,F001
TXN00141,1,Error,Medium,M003
TXN00142,0,None,None,None
TXN00143,0,None,None,None
TXN00144,0,None,None,None
TXN00145,0,None,None,None
TXN00146,0,None,None,None
TXN00147,0,None,None,None
TXN00148,0,None,None,None
TXN00149,0,None,None,None
TXN00150,0,None,None,None
TXN00151,1,Misstatement,Medium,F001
TXN00152,0,None,None,None
TXN00153,0,None,None,None
TXN00154,0,None,None,None
TXN00155,1,Fraud,Low,F001
TXN00156,0,None,None,None
TXN00157,0,None,None,None
TXN00158,0,None,None,None
TXN00159,0,None,None,None
TXN00160,0,None,None,None
TXN00161,0,None,None,None
TXN00162,0,None,None,None
TXN00163,0,None,None,None
TXN00164,0,None,None,None
TXN00165,0,None,None,None
TXN00166,0,None,None,None
TXN00167,0,None,None,None
TXN00168,0,None,None,None
TXN00169,0,None,None,None
TXN00170,0,None,None,None
TXN00171,0,None,None,None
TXN00172,0,None,None,None
TXN00173,0,None,None,None
TXN00174,0,None,None,None
TXN00175,0,None,None,None
TXN00176,0,None,None,None
TXN00177,0,None,None,None
TXN00178,0,None,None,None
TXN00179,1,Fraud,Low,E002
TXN00180,0,None,None,None
TXN00181,0,None,None,None
TXN00182,0,None,None,None
TXN00183,1,Error,Low,F001
TXN00184,1,Misstatement,Medium,M003
TXN00185,0,None,None,None
TXN00186,0,None,None,None
TXN00187,0,None,None,None
TXN00188,0,None,None,None
TXN00189,0,None,None,None
TXN00190,0,None,None,None
TXN00191,0,None,None,None
TXN00192,1,Misstatement,Medium,F001
TXN00193,1,Misstatement,Low,F001
TXN00194,0,None,None,None
TXN00195,0,None,None,None
TXN00196,0,None,None,None
TXN00197,0,None,None,None
TXN00198,1,Misstatement,Low,M003
TXN00199,1,Fraud,Low,E002
TXN00200,0,None,None,None
TXN00201,0,None,None,None
TXN00202,0,None,None,None
TXN00203,0,None,None,None
TXN00204,1,Error,Medium,E002
TXN00205,0,None,None,None
TXN00206,0,None,None,None
TXN00207,0,None,None,None
TXN00208,0,None,None,None
TXN00209,0,None,None,None
TXN00210,0,None,None,None
TXN00211,0,None,None,None
TXN00212,0,None,None,None
TXN00213,0,None,None,None
TXN00214,0,None,None,None
TXN00215,0,None,None,None
TXN00216,0,None,None,None
TXN00217,0,None,None,None
TXN00218,0,None,None,None
TXN00219,0,None,None,None
TXN00220,0,None,None,None
TXN00221,0,None,None,None
TXN00222,0,None,None,None
TXN00223,0,None,None,None
TXN00224,0,None,None,None
TXN00225,0,None,None,None
TXN00226,0,None,None,None
TXN00227,1,Fraud,Medium,M003
TXN00228,0,None,None,None
TXN00229,1,Fraud,Low,E002
TXN00230,0,None,None,None
TXN00231,0,None,None,None
TXN00232,0,None,None,None
TXN00233,0,None,None,None
TXN00234,0,None,None,None
TXN00235,0,None,None,None
TXN00236,0,None,None,None
TXN00237,0,None,None,None
TXN00238,0,None,None,None
TXN00239,0,None,None,None
TXN00240,0,None,None,None
TXN00241,1,Fraud,Low,M003
TXN00242,1,Misstatement,Low,F001
TXN00243,1,Fraud,High,F001
TXN00244,0,None,None,None
TXN00245,0,None,None,None
TXN00246,1,Fraud,Medium,F001
TXN00247,0,None,None,None
TXN00248,1,Error,Low,F001
TXN00249,1,Fraud,Low,M003
TXN00250,1,Misstatement,Low,M003
TXN00251,0,None,None,None
TXN00252,0,None,None,None
TXN00253,1,Misstatement,Low,E002
TXN00254,0,None,None,None
TXN00255,0,None,None,None
TXN00256,0,None,None,None
TXN00257,1,Misstatement,Medium,E002
TXN00258,0,None,None,None
TXN00259,0,None,None,None
TXN00260,0,None,None,None
TXN00261,0,None,None,None
TXN00262,1,Fraud,Medium,E002
TXN00263,0,None,None,None
TXN00264,0,None,None,None
TXN00265,1,Misstatement,Medium,E002
TXN00266,0,None,None,None
TXN00267,0,None,None,None
TXN00268,0,None,None,None
TXN00269,0,None,None,None
TXN00270,0,None,None,None
TXN00271,0,None,None,None
TXN00272,0,None,None,None
TXN00273,1,Error,High,F001
TXN00274,1,Fraud,Medium,E002
TXN00275,0,None,None,None
TXN00276,0,None,None,None
TXN00277,0,None,None,None
TXN00278,0,None,None,None
TXN00279,0,None,None,None
TXN00280,0,None,None,None
TXN00281,1,Fraud,High,F001
TXN00282,0,None,None,None
TXN00283,0,None,None,None
TXN00284,0,None,None,None
TXN00285,0,None,None,None
TXN00286,0,None,None,None
TXN00287,0,None,None,None
TXN00288,0,None,None,None
TXN00289,0,None,None,None
TXN00290,0,None,None,None
TXN00291,0,None,None,None
TXN00292,0,None,None,None
TXN00293,0,None,None,None
TXN00294,0,None,None,None
TXN00295,0,None,None,None
TXN00296,0,None,None,None
TXN00297,0,None,None,None
TXN00298,0,None,None,None
TXN00299,0,None,None,None
TXN00300,0,None,None,None
TXN00301,0,None,None,None
TXN00302,0,None,None,None
TXN00303,0,None,None,None
TXN00304,0,None,None,None
TXN00305,0,None,None,None
TXN00306,1,Error,Medium,E002
TXN00307,0,None,None,None
TXN00308,0,None,None,None
TXN00309,0,None,None,None
TXN00310,0,None,None,None
TXN00311,0,None,None,None
TXN00312,0,None,None,None
TXN00313,0,None,None,None
TXN00314,1,Fraud,Low,F001
TXN00315,0,None,None,None
TXN00316,0,None,None,None
TXN00317,0,None,None,None
TXN00318,0,None,None,None
TXN00319,0,None,None,None
TXN00320,0,None,None,None
TXN00321,0,None,None,None
TXN00322,0,None,None,None
TXN00323,0,None,None,None
TXN00324,0,None,None,None
TXN00325,1,Fraud,Low,M003
TXN00326,0,None,None,None
TXN00327,0,None,None,None
TXN00328,0,None,None,None
TXN00329,0,None,None,None
TXN00330,0,None,None,None
TXN00331,0,None,None,None
TXN00332,0,None,None,None
TXN00333,0,None,None,None
TXN00334,0,None,None,None
TXN00335,0,None,None,None
TXN00336,0,None,None,None
TXN00337,1,Misstatement,High,M003
TXN00338,0,None,None,None
TXN00339,0,None,None,None
TXN00340,0,None,None,None
TXN00341,0,None,None,None
TXN00342,0,None,None,None
TXN00343,0,None,None,None
TXN00344,0,None,None,None
TXN00345,0,None,None,None
TXN00346,0,None,None,None
TXN00347,0,None,None,None
TXN00348,0,None,None,None
TXN00349,0,None,None,None
TXN00350,0,None,None,None
TXN00351,0,None,None,None
TXN00352,1,Fraud,Medium,E002
TXN00353,0,None,None,None
TXN00354,0,None,None,None
TXN00355,0,None,None,None
TXN00356,0,None,None,None
TXN00357,0,None,None,None
TXN00358,0,None,None,None
TXN00359,1,Misstatement,Low,F001
TXN00360,0,None,None,None
TXN00361,0,None,None,None
TXN00362,0,None,None,None
TXN00363,0,None,None,None
TXN00364,0,None,None,None
TXN00365,1,Error,High,E002
TXN00366,0,None,None,None
TXN00367,1,Error,High,M003
TXN00368,1,Error,Low,F001
TXN00369,0,None,None,None
TXN00370,0,None,None,None
TXN00371,0,None,None,None
TXN00372,0,None,None,None
TXN00373,0,None,None,None
TXN00374,0,None,None,None
TXN00375,0,None,None,None
TXN00376,0,None,None,None
TXN00377,0,None,None,None
TXN00378,0,None,None,None
TXN00379,0,None,None,None
TXN00380,0,None,None,None
TXN00381,0,None,None,None
TXN00382,0,None,None,None
TXN00383,0,None,None,None
TXN00384,1,Misstatement,High,F001
TXN00385,0,None,None,None
TXN00386,0,None,None,None
TXN00387,0,None,None,None
TXN00388,0,None,None,None
TXN00389,0,None,None,None
TXN00390,0,None,None,None
TXN00391,1,Error,Low,E002
TXN00392,0,None,None,None
TXN00393,0,None,None,None
TXN00394,0,None,None,None
TXN00395,0,None,None,None
TXN00396,1,Misstatement,High,M003
TXN00397,1,Error,Medium,E002
TXN00398,0,None,None,None
TXN00399,0,None,None,None
TXN00400,0,None,None,None
TXN00401,0,None,None,None
TXN00402,1,Error,Medium,F001
TXN00403,0,None,None,None
TXN00404,0,None,None,None
TXN00405,0,None,None,None
TXN00406,1,Misstatement,High,M003
TXN00407,0,None,None,None
TXN00408,0,None,None,None
TXN00409,1,Misstatement,Medium,M003
TXN00410,0,None,None,None
TXN00411,0,None,None,None
TXN00412,1,Fraud,Low,F001
TXN00413,1,Error,High,E002
TXN00414,0,None,None,None
TXN00415,0,None,None,None
TXN00416,0,None,None,None
TXN00417,0,None,None,None
TXN00418,0,None,None,None
TXN00419,0,None,None,None
TXN00420,0,None,None,None
TXN00421,0,None,None,None
TXN00422,0,None,None,None
TXN00423,0,None,None,None
TXN00424,0,None,None,None
TXN00425,0,None,None,None
TXN00426,0,None,None,None
TXN00427,0,None,None,None
TXN00428,1,Fraud,Low,F001
TXN00429,0,None,None,None
TXN00430,0,None,None,None
TXN00431,0,None,None,None
TXN00432,0,None,None,None
TXN00433,0,None,None,None
TXN00434,0,None,None,None
TXN00435,0,None,None,None
TXN00436,0,None,None,None
TXN00437,0,None,None,None
TXN00438,0,None,None,None
TXN00439,0,None,None,None
TXN00440,0,None,None,None
TXN00441,0,None,None,None
TXN00442,1,Error,Medium,E002
TXN00443,0,None,None,None
TXN00444,0,None,None,None
TXN00445,0,None,None,None
TXN00446,1,Fraud,Medium,F001
TXN00447,1,Misstatement,Low,F001
TXN00448,0,None,None,None
TXN00449,0,None,None,None
TXN00450,0,None,None,None
TXN00451,0,None,None,None
TXN00452,0,None,None,None
TXN00453,0,None,None,None
TXN00454,1,Fraud,High,M003
TXN00455,0,None,None,None
TXN00456,0,None,None,None
TXN00457,0,None,None,None
TXN00458,0,None,None,None
TXN00459,0,None,None,None
TXN00460,0,None,None,None
TXN00461,0,None,None,None
TXN00462,0,None,None,None
TXN00463,0,None,None,None
TXN00464,0,None,None,None
TXN00465,1,Error,High,E002
TXN00466,0,None,None,None
TXN00467,0,None,None,None
TXN00468,1,Misstatement,High,F001
TXN00469,0,None,None,None
TXN00470,1,Misstatement,High,F001
TXN00471,0,None,None,None
TXN00472,1,Error,High,E002
TXN00473,0,None,None,None
TXN00474,1,Fraud,High,F001
TXN00475,0,None,None,None
TXN00476,1,Fraud,Medium,E002
TXN00477,0,None,None,None
TXN00478,0,None,None,None
TXN00479,1,Error,High,E002
TXN00480,0,None,None,None
TXN00481,0,None,None,None
TXN00482,0,None,None,None
TXN00483,0,None,None,None
TXN00484,0,None,None,None
TXN00485,0,None,None,None
TXN00486,1,Fraud,High,E002
TXN00487,0,None,None,None
TXN00488,0,None,None,None
TXN00489,1,Error,Medium,F001
TXN00490,1,Misstatement,Medium,E002
TXN00491,0,None,None,None
TXN00492,0,None,None,None
TXN00493,0,None,None,None
TXN00494,0,None,None,None
TXN00495,0,None,None,None
TXN00496,0,None,None,None
TXN00497,0,None,None,None
TXN00498,0,None,None,None
TXN00499,1,Fraud,Medium,M003
TXN00500,1,Fraud,Medium,M003
TXN00501,0,None,None,None
TXN00502,0,None,None,None
TXN00503,0,None,None,None
TXN00504,0,None,None,None
TXN00505,0,None,None,None
TXN00506,0,None,None,None
TXN00507,1,Error,High,M003
TXN00508,0,None,None,None
TXN00509,1,Fraud,Medium,M003
TXN00510,0,None,None,None
TXN00511,0,None,None,None
TXN00512,0,None,None,None
TXN00513,1,Misstatement,Medium,M003
TXN00514,1,Error,Low,F001
TXN00515,0,None,None,None
TXN00516,0,None,None,None
TXN00517,0,None,None,None
TXN00518,0,None,None,None
TXN00519,1,Error,Low,M003
TXN00520,0,None,None,None
TXN00521,0,None,None,None
TXN00522,0,None,None,None
TXN00523,1,Misstatement,High,F001
TXN00524,0,None,None,None
TXN00525,0,None,None,None
TXN00526,0,None,None,None
TXN00527,0,None,None,None
TXN00528,0,None,None,None
TXN00529,0,None,None,None
TXN00530,1,Misstatement,Medium,F001
TXN00531,0,None,None,None
TXN00532,1,Misstatement,Medium,M003
TXN00533,1,Error,High,E002
TXN00534,0,None,None,None
TXN00535,0,None,None,None
TXN00536,1,Fraud,Low,E002
TXN00537,0,None,None,None
TXN00538,0,None,None,None
TXN00539,0,None,None,None
TXN00540,0,None,None,None
TXN00541,1,Fraud,Low,F001
TXN00542,0,None,None,None
TXN00543,0,None,None,None
TXN00544,0,None,None,None
TXN00545,0,None,None,None
TXN00546,0,None,None,None
TXN00547,0,None,None,None
TXN00548,0,None,None,None
TXN00549,0,None,None,None
TXN00550,0,None,None,None
TXN00551,0,None,None,None
TXN00552,1,Fraud,Low,F001
TXN00553,0,None,None,None
TXN00554,0,None,None,None
TXN00555,1,Error,High,F001
TXN00556,0,None,None,None
TXN00557,0,None,None,None
TXN00558,0,None,None,None
TXN00559,0,None,None,None
TXN00560,0,None,None,None
TXN00561,0,None,None,None
TXN00562,0,None,None,None
TXN00563,0,None,None,None
TXN00564,0,None,None,None
TXN00565,0,None,None,None
TXN00566,0,None,None,None
TXN00567,0,None,None,None
TXN00568,0,None,None,None
TXN00569,1,Fraud,High,E002
TXN00570,0,None,None,None
TXN00571,0,None,None,None
TXN00572,0,None,None,None
TXN00573,0,None,None,None
TXN00574,0,None,None,None
TXN00575,1,Fraud,Low,F001
TXN00576,1,Misstatement,High,M003
TXN00577,0,None,None,None
TXN00578,1,Fraud,High,F001
TXN00579,0,None,None,None
TXN00580,0,None,None,None
TXN00581,0,None,None,None
TXN00582,1,Fraud,Low,F001
TXN00583,0,None,None,None
TXN00584,0,None,None,None
TXN00585,0,None,None,None
TXN00586,0,None,None,None
TXN00587,0,None,None,None
TXN00588,0,None,None,None
TXN00589,0,None,None,None
TXN00590,0,None,None,None
TXN00591,0,None,None,None
TXN00592,0,None,None,None
TXN00593,0,None,None,None
TXN00594,0,None,None,None
TXN00595,1,Fraud,High,E002
TXN00596,0,None,None,None
TXN00597,0,None,None,None
TXN00598,0,None,None,None
TXN00599,0,None,None,None
TXN00600,0,None,None,None
TXN00601,0,None,None,None
TXN00602,0,None,None,None
TXN00603,0,None,None,None
TXN00604,0,None,None,None
TXN00605,0,None,None,None
TXN00606,0,None,None,None
TXN00607,0,None,None,None
TXN00608,0,None,None,None
TXN00609,0,None,None,None
TXN00610,0,None,None,None
TXN00611,0,None,None,None
TXN00612,0,None,None,None
TXN00613,0,None,None,None
TXN00614,0,None,None,None
TXN00615,1,Error,Medium,E002
TXN00616,1,Misstatement,High,F001
TXN00617,0,None,None,None
TXN00618,0,None,None,None
TXN00619,0,None,None,None
TXN00620,0,None,None,None
TXN00621,0,None,None,None
TXN00622,0,None,None,None
TXN00623,0,None,None,None
TXN00624,0,None,None,None
TXN00625,0,None,None,None
TXN00626,0,None,None,None
TXN00627,0,None,None,None
TXN00628,0,None,None,None
TXN00629,0,None,None,None
TXN00630,0,None,None,None
TXN00631,0,None,None,None
TXN00632,1,Misstatement,High,F001
TXN00633,0,None,None,None
TXN00634,0,None,None,None
TXN00635,0,None,None,None
TXN00636,0,None,None,None
TXN00637,0,None,None,None
TXN00638,0,None,None,None
TXN00639,0,None,None,None
TXN00640,0,None,None,None
TXN00641,0,None,None,None
TXN00642,0,None,None,None
TXN00643,0,None,None,None
TXN00644,0,None,None,None
TXN00645,0,None,None,None
TXN00646,1,Error,Low,M003
TXN00647,0,None,None,None
TXN00648,0,None,None,None
TXN00649,0,None,None,None
TXN00650,0,None,None,None
TXN00651,0,None,None,None
TXN00652,0,None,None,None
TXN00653,0,None,None,None
TXN00654,0,None,None,None
TXN00655,0,None,None,None
TXN00656,0,None,None,None
TXN00657,0,None,None,None
TXN00658,0,None,None,None
TXN00659,0,None,None,None
TXN00660,0,None,None,None
TXN00661,0,None,None,None
TXN00662,1,Error,Low,E002
TXN00663,0,None,None,None
TXN00664,0,None,None,None
TXN00665,0,None,None,None
TXN00666,0,None,None,None
TXN00667,0,None,None,None
TXN00668,0,None,None,None
TXN00669,0,None,None,None
TXN00670,0,None,None,None
TXN00671,0,None,None,None
TXN00672,1,Error,Medium,F001
TXN00673,0,None,None,None
TXN00674,0,None,None,None
TXN00675,0,None,None,None
TXN00676,1,Fraud,High,F001
TXN00677,0,None,None,None
TXN00678,0,None,None,None
TXN00679,1,Error,Medium,M003
TXN00680,1,Fraud,Low,F001
TXN00681,0,None,None,None
TXN00682,0,None,None,None
TXN00683,0,None,None,None
TXN00684,0,None,None,None
TXN00685,1,Error,Low,M003
TXN00686,0,None,None,None
TXN00687,0,None,None,None
TXN00688,0,None,None,None
TXN00689,0,None,None,None
TXN00690,0,None,None,None
TXN00691,0,None,None,None
TXN00692,0,None,None,None
TXN00693,0,None,None,None
TXN00694,0,None,None,None
TXN00695,0,None,None,None
TXN00696,0,None,None,None
TXN00697,0,None,None,None
TXN00698,0,None,None,None
TXN00699,0,None,None,None
TXN00700,0,None,None,None
TXN00701,0,None,None,None
TXN00702,0,None,None,None
TXN00703,0,None,None,None
TXN00704,0,None,None,None
TXN00705,0,None,None,None
TXN00706,1,Error,Medium,M003
TXN00707,0,None,None,None
TXN00708,0,None,None,None
TXN00709,0,None,None,None
TXN00710,0,None,None,None
TXN00711,0,None,None,None
TXN00712,0,None,None,None
TXN00713,0,None,None,None
TXN00714,0,None,None,None
TXN00715,0,None,None,None
TXN00716,1,Fraud,Medium,F001
TXN00717,0,None,None,None
TXN00718,1,Fraud,Low,M003
TXN00719,0,None,None,None
TXN00720,0,None,None,None
TXN00721,1,Fraud,High,M003
TXN00722,0,None,None,None
TXN00723,0,None,None,None
TXN00724,0,None,None,None
TXN00725,0,None,None,None
TXN00726,0,None,None,None
TXN00727,0,None,None,None
TXN00728,0,None,None,None
TXN00729,0,None,None,None
TXN00730,0,None,None,None
TXN00731,0,None,None,None
TXN00732,0,None,None,None
TXN00733,0,None,None,None
TXN00734,0,None,None,None
TXN00735,0,None,None,None
TXN00736,1,Error,Medium,E002
TXN00737,0,None,None,None
TXN00738,0,None,None,None
TXN00739,0,None,None,None
TXN00740,0,None,None,None
TXN00741,0,None,None,None
TXN00742,0,None,None,None
TXN00743,0,None,None,None
TXN00744,0,None,None,None
TXN00745,0,None,None,None
TXN00746,1,Fraud,Medium,F001
TXN00747,0,None,None,None
TXN00748,0,None,None,None
TXN00749,1,Fraud,Medium,E002
TXN00750,0,None,None,None
TXN00751,0,None,None,None
TXN00752,1,Misstatement,High,E002
TXN00753,0,None,None,None
TXN00754,0,None,None,None
TXN00755,0,None,None,None
TXN00756,0,None,None,None
TXN00757,0,None,None,None
TXN00758,0,None,None,None
TXN00759,1,Fraud,High,M003
TXN00760,0,None,None,None
TXN00761,0,None,None,None
TXN00762,0,None,None,None
TXN00763,0,None,None,None
TXN00764,0,None,None,None
TXN00765,0,None,None,None
TXN00766,0,None,None,None
TXN00767,0,None,None,None
TXN00768,1,Error,Medium,E002
TXN00769,0,None,None,None
TXN00770,0,None,None,None
TXN00771,0,None,None,None
TXN00772,0,None,None,None
TXN00773,0,None,None,None
TXN00774,0,None,None,None
TXN00775,0,None,None,None
TXN00776,0,None,None,None
TXN00777,0,None,None,None
TXN00778,0,None,None,None
TXN00779,0,None,None,None
TXN00780,0,None,None,None
TXN00781,0,None,None,None
TXN00782,0,None,None,None
TXN00783,0,None,None,None
TXN00784,0,None,None,None
TXN00785,0,None,None,None
TXN00786,1,Error,High,F001
TXN00787,0,None,None,None
TXN00788,0,None,None,None
TXN00789,0,None,None,None
TXN00790,1,Fraud,Low,M003
TXN00791,0,None,None,None
TXN00792,0,None,None,None
TXN00793,0,None,None,None
TXN00794,0,None,None,None
TXN00795,0,None,None,None
TXN00796,1,Fraud,High,M003
TXN00797,1,Fraud,High,E002
TXN00798,0,None,None,None
TXN00799,0,None,None,None
TXN00800,1,Error,Medium,F001
TXN00801,0,None,None,None
TXN00802,0,None,None,None
TXN00803,0,None,None,None
TXN00804,0,None,None,None
TXN00805,0,None,None,None
TXN00806,0,None,None,None
TXN00807,1,Error,High,E002
TXN00808,1,Error,Low,M003
TXN00809,0,None,None,None
TXN00810,0,None,None,None
TXN00811,1,Error,Medium,F001
TXN00812,0,None,None,None
TXN00813,0,None,None,None
TXN00814,1,Error,Low,M003
TXN00815,1,Fraud,High,F001
TXN00816,0,None,None,None
TXN00817,0,None,None,None
TXN00818,0,None,None,None
TXN00819,0,None,None,None
TXN00820,0,None,None,None
TXN00821,0,None,None,None
TXN00822,0,None,None,None
TXN00823,0,None,None,None
TXN00824,0,None,None,None
TXN00825,0,None,None,None
TXN00826,1,Fraud,High,E002
TXN00827,0,None,None,None
TXN00828,0,None,None,None
TXN00829,0,None,None,None
TXN00830,0,None,None,None
TXN00831,0,None,None,None
TXN00832,0,None,None,None
TXN00833,0,None,None,None
TXN00834,0,None,None,None
TXN00835,0,None,None,None
TXN00836,0,None,None,None
TXN00837,1,Fraud,High,M003
TXN00838,0,None,None,None
TXN00839,0,None,None,None
TXN00840,0,None,None,None
TXN00841,0,None,None,None
TXN00842,0,None,None,None
TXN00843,0,None,None,None
TXN00844,1,Fraud,Low,F001
TXN00845,0,None,None,None
TXN00846,0,None,None,None
TXN00847,0,None,None,None
TXN00848,1,Error,Medium,E002
TXN00849,0,None,None,None
TXN00850,0,None,None,None
TXN00851,0,None,None,None
TXN00852,0,None,None,None
TXN00853,0,None,None,None
TXN00854,1,Fraud,High,E002
TXN00855,0,None,None,None
TXN00856,0,None,None,None
TXN00857,0,None,None,None
TXN00858,0,None,None,None
TXN00859,0,None,None,None
TXN00860,0,None,None,None
TXN00861,0,None,None,None
TXN00862,0,None,None,None
TXN00863,0,None,None,None
TXN00864,0,None,None,None
TXN00865,0,None,None,None
TXN00866,0,None,None,None
TXN00867,0,None,None,None
TXN00868,0,None,None,None
TXN00869,1,Error,High,F001
TXN00870,1,Error,Medium,F001
TXN00871,0,None,None,None
TXN00872,0,None,None,None
TXN00873,0,None,None,None
TXN00874,0,None,None,None
TXN00875,0,None,None,None
TXN00876,0,None,None,None
TXN00877,0,None,None,None
TXN00878,0,None,None,None
TXN00879,0,None,None,None
TXN00880,0,None,None,None
TXN00881,0,None,None,None
TXN00882,0,None,None,None
TXN00883,0,None,None,None
TXN00884,0,None,None,None
TXN00885,0,None,None,None
TXN00886,0,None,None,None
TXN00887,0,None,None,None
TXN00888,0,None,None,None
TXN00889,0,None,None,None
TXN00890,0,None,None,None
TXN00891,0,None,None,None
TXN00892,1,Error,Medium,F001
TXN00893,0,None,None,None
TXN00894,0,None,None,None
TXN00895,0,None,None,None
TXN00896,0,None,None,None
TXN00897,0,None,None,None
TXN00898,1,Misstatement,High,E002
TXN00899,0,None,None,None
TXN00900,0,None,None,None
TXN00901,0,None,None,None
TXN00902,0,None,None,None
TXN00903,0,None,None,None
TXN00904,0,None,None,None
TXN00905,0,None,None,None
TXN00906,1,Fraud,High,M003
TXN00907,0,None,None,None
TXN00908,0,None,None,None
TXN00909,0,None,None,None
TXN00910,0,None,None,None
TXN00911,0,None,None,None
TXN00912,0,None,None,None
TXN00913,0,None,None,None
TXN00914,0,None,None,None
TXN00915,0,None,None,None
TXN00916,0,None,None,None
TXN00917,0,None,None,None
TXN00918,1,Error,Low,E002
TXN00919,0,None,None,None
TXN00920,0,None,None,None
TXN00921,1,Fraud,Low,F001
TXN00922,0,None,None,None
TXN00923,1,Error,High,E002
TXN00924,0,None,None,None
TXN00925,0,None,None,None
TXN00926,0,None,None,None
TXN00927,0,None,None,None
TXN00928,0,None,None,None
TXN00929,0,None,None,None
TXN00930,0,None,None,None
TXN00931,0,None,None,None
TXN00932,0,None,None,None
TXN00933,1,Error,High,E002
TXN00934,0,None,None,None
TXN00935,0,None,None,None
TXN00936,0,None,None,None
TXN00937,0,None,None,None
TXN00938,1,Error,Low,F001
TXN00939,0,None,None,None
TXN00940,0,None,None,None
TXN00941,0,None,None,None
TXN00942,0,None,None,None
TXN00943,0,None,None,None
TXN00944,0,None,None,None
TXN00945,0,None,None,None
TXN00946,0,None,None,None
TXN00947,0,None,None,None
