User_ID,System_Latency,Login_Frequency,Failed_Attempts,IP_Region
U065,247.63,9,4,MA
U409,403.99,4,1,VU
U271,398.25,1,2,ZW
U454,184.94,10,5,CF
U253,446.85,6,2,BY
U365,476.66,4,0,IS
U498,306.2,2,4,BS
U259,441.99,3,4,VU
U117,355.86,3,2,IQ
U328,452.79,6,2,ER
U465,343.24,3,0,SD
U260,286.25,7,4,AR
U252,155.89,5,5,LT
U197,207.93,10,5,VU
U181,220.91,8,4,KZ
U059,415.09,5,3,MK
U077,134.42,8,3,CU
U038,462.92,9,2,AO
U233,104.81,8,2,ES
U351,293.69,1,3,MX
U255,367.71,7,1,IS
U453,169.56,8,5,JP
U182,371.07,7,4,PY
U246,381.04,5,0,DK
U494,196.61,5,5,CA
U152,471.45,3,2,SB
U457,402.6,9,5,BY
U225,295.59,7,3,TD
U480,351.84,4,0,IS
U352,188.24,1,3,NR
U028,274.47,8,3,CL
U104,237.26,1,1,GH
U178,276.33,8,2,HT
U300,125.95,9,5,LC
U280,150.91,2,0,JO
U299,242.79,1,0,DE
U382,478.81,2,5,PS
U046,235.02,1,3,KW
U261,223.99,2,1,NR
U209,470.7,3,1,GT
U168,215.24,5,0,LS
U015,475.04,5,2,LI
U484,171.89,9,1,BF
U265,255.85,1,5,BH
U208,271.2,6,3,CV
U451,235.83,7,3,SI
U238,373.34,10,0,MW
U308,332.04,5,2,OM
U104,419.45,3,4,VN
U299,330.84,2,2,YE
U046,447.98,2,4,BT
U124,342.89,9,3,MW
U354,171.69,8,1,TN
U181,383.12,5,2,EE
U320,432.91,10,4,PT
U266,484.69,1,2,SZ
U079,238.3,1,4,TG
U020,473.49,5,1,IE
U389,139.29,5,3,AE
U108,453.88,10,0,MZ
U296,432.2,2,2,JO
U278,189.03,1,1,MH
U146,199.82,1,4,SA
U043,120.22,8,5,CN
U425,163.04,3,5,PG
U316,347.49,4,1,SC
U423,396.34,2,0,JM
U096,488.97,5,2,JM
U130,357.61,10,3,AF
U332,232.22,3,4,DJ
U006,172.37,1,1,MY
U459,215.21,5,5,DK
U471,278.59,10,0,RO
U317,175.58,10,4,ER
U477,381.94,4,0,MR
U008,432.89,1,4,SI
U021,127.95,7,1,IN
U486,152.64,5,0,BS
U093,445.95,1,5,LA
U050,445.82,5,3,PA
U463,188.42,2,5,CA
U144,467.58,3,4,MA
U408,375.46,2,0,SO
U160,143.86,1,4,IE
U016,494.56,8,4,SN
U432,238.65,1,4,TZ
U391,196.97,5,1,LC
U048,378.73,4,1,ZM
U361,245.05,2,0,LV
U211,284.78,1,4,WS
U441,468.03,6,1,TR
U054,479.57,6,2,ST
U103,420.82,1,1,ST
U100,133.71,4,5,SB
U141,395.76,2,0,UG
U279,268.57,6,0,HN
U276,369.34,9,5,MD
U462,493.21,9,5,JM
U491,113.44,8,4,DO
U435,470.46,9,2,KW
U219,256.64,6,1,KH
U175,361.38,1,1,ZW
U142,369.19,7,5,UA
U099,339.22,7,2,DO
U084,118.34,1,5,NO
U412,386.86,7,2,PY
U113,433.66,8,3,PW
U185,175.84,6,4,FM
U294,200.47,2,0,CG
U418,186.24,5,1,MK
U172,206.82,2,0,SO
U053,200.39,5,5,BS
U077,429.48,9,1,SN
U099,399.5,4,3,SY
U490,325.37,6,4,TD
U451,417.75,2,1,BY
U423,335.3,6,4,PH
U370,201.15,7,4,LV
U135,162.52,1,0,FI
U448,404.06,10,1,FM
U286,469.31,6,2,LC
U479,102.98,2,0,AU
U157,122.55,5,0,PL
U421,351.7,3,0,JM
U215,166.06,8,5,BF
U152,455.68,8,1,PW
U048,276.57,1,1,SY
U484,387.12,3,3,NR
U344,195.59,2,4,CR
U318,162.88,6,4,AM
U151,303.44,4,1,NZ
U427,438.87,9,2,SE
U442,302.91,7,3,EE
U492,453,2,4,DO
U339,278.41,2,4,PW
U487,318.15,6,4,MU
U430,367.46,2,4,IR
U379,142.57,2,1,KR
U403,340.63,2,2,NG
U303,187.32,7,4,KI
U133,316.16,3,5,LV
U232,248.85,8,5,GN
U306,115.8,2,5,GB
U380,117.44,5,2,NZ
U228,117.35,4,1,RS
U375,124,6,1,NG
U252,269.2,10,3,GA
U338,353.65,4,0,LA
U188,156.2,5,1,CY
U133,305.79,2,1,MW
U481,444.19,1,1,DZ
U234,358.16,7,2,HU
U188,290.34,2,0,CM
U050,278.38,7,4,NO
U143,232.28,6,0,TD
U338,260.99,1,5,ES
U240,320.61,5,3,IE
U336,148.24,8,3,AU
U168,166.28,3,5,LV
U292,363.23,6,0,TW
U104,485.57,6,0,ES
U175,361.69,4,1,AE
U224,196.53,2,3,NL
U182,209.69,1,4,KG
U272,268.46,8,0,LI
U260,186.64,4,3,CH
U192,173.52,8,0,MH
U261,214.82,2,2,LI
U136,251.42,3,0,PS
U188,359.4,3,3,KN
U499,488.86,1,4,AE
U064,368.06,8,2,BD
U409,442.27,3,1,ZW
U056,311.34,6,2,LV
U299,475.31,1,3,LK
U222,408.49,9,0,SC
U360,233.67,5,4,CI
U164,399.43,6,4,ML
U261,393.94,3,4,CZ
U127,233.16,5,4,TW
U418,286.22,1,2,LY
U192,298.03,9,4,DJ
U494,225.43,9,1,MY
U420,495.24,7,5,BF
U059,127.19,1,0,PA
U227,495.73,10,4,VE
U436,246.58,7,2,MX
U005,415.04,10,0,UZ
U392,437.25,3,2,TG
U335,299.88,6,0,GA
U068,327.55,4,1,KZ
U187,254.64,4,1,SV
U340,381.45,7,5,MY
U141,326.53,1,4,GT
U075,465.25,2,3,ZW
U499,263.36,1,3,MU
U451,415.63,10,0,WS
U487,105.04,10,0,HU
U162,414.26,10,4,AM
U237,356.23,4,4,PK
U233,407.65,2,4,HN
U223,471.34,10,5,KM
U411,382.14,2,3,MZ
U250,279.08,5,5,GD
U254,225.91,1,2,PH
U080,172.94,1,4,AL
U443,437.2,10,2,MR
U311,394.71,10,0,BF
U305,306.33,9,0,ID
U079,354.97,2,3,MY
U485,135.31,3,0,BZ
U156,325.58,10,2,UA
U418,173.6,8,4,KZ
U397,454.92,2,0,TH
U315,230.43,10,1,SY
U364,392.94,3,3,UY
U258,235.4,3,2,BT
U294,291.98,9,4,AF
U405,335.15,9,5,QA
U015,247.31,8,3,KR
U115,388.14,5,1,UY
U404,281.26,2,3,ES
U054,152.18,6,1,ZW
U497,293.87,10,5,MA
U195,265.29,5,2,CD
U074,209.21,10,4,TO
U466,213.9,3,5,QA
U309,474.29,6,5,SL
U462,222.75,5,0,WS
U043,122.97,4,0,LK
U035,347.53,5,1,BR
U299,288.75,6,2,VA
U423,318.05,1,4,TM
U492,188.27,3,4,IS
U310,294.68,7,3,LT
U305,171.58,7,4,FM
U413,323.83,5,2,TZ
U151,148.74,3,4,CI
U128,347.97,8,5,MD
U345,180.13,4,1,RO
U430,355.35,9,2,BY
U442,159.44,7,1,GY
U361,457,10,5,CD
U012,368.47,7,1,VE
U077,342.44,7,4,MG
U321,166.48,5,5,AG
U256,355.18,9,5,FJ
U320,113.17,2,3,KN
U457,386.52,2,4,BF
U483,369.48,1,5,MY
U122,477.68,6,3,DK
U490,222.24,2,5,TN
U335,257.65,3,3,BE
U406,153.23,10,0,AR
U364,204.12,3,2,MX
U275,284.35,8,2,IN
U346,273.01,3,5,SD
U133,358.56,5,1,ML
U454,336.66,4,5,HU
U002,231.37,1,4,ML
U464,341.38,7,5,MD
U326,468.46,8,2,PA
U196,287.14,8,5,MM
U181,473.53,8,4,BW
U282,363.69,10,4,AL
U490,362.51,9,2,DO
U209,400.61,4,3,CL
U172,261.15,7,0,CF
U062,374.82,8,4,BH
U497,109.62,8,2,US
U372,480.35,9,3,BO
U159,275.32,2,5,GN
U430,162.33,1,5,NZ
U005,221.38,8,3,MM
U149,272.38,1,0,MN
U216,256.85,9,0,CU
U243,343.03,3,3,GR
U280,375.13,5,0,ZA
U281,188.79,1,4,PH
U160,471.71,9,0,PA
U434,427.83,10,5,TO
U123,372,4,5,GM
U318,326.03,6,5,NZ
U403,223.72,2,5,KW
U329,307.22,4,0,BN
U467,302.22,4,1,LR
U112,451.52,2,2,NL
U494,397.36,6,1,TM
U469,462.17,8,1,UA
U125,106.56,10,3,BS
U292,230.79,3,1,GQ
U487,331.71,1,2,NO
U242,233.68,9,4,RO
U479,353.28,3,1,US
U496,166.07,4,0,MG
U254,290.69,7,5,SA
U203,173.74,7,3,TZ
U269,252.13,2,1,MY
U122,400.31,7,1,BA
U007,158.54,3,2,SD
U285,422.88,1,0,EG
U085,411.22,2,2,NG
U462,230.96,8,5,CF
U091,393.76,3,0,ST
U397,163.54,10,2,DJ
U379,198.02,6,2,GY
U267,478.19,2,4,TV
U114,387.14,3,5,TV
U344,452.79,7,4,BZ
U107,468.72,7,5,CG
U066,428.02,1,3,TM
U022,342.3,9,3,VE
U224,166.26,7,1,CH
U321,484.38,10,0,FJ
U379,391.06,7,5,UA
U395,208.19,2,5,KM
U038,170.73,2,2,SY
U240,412.38,1,5,GA
U469,371.97,9,1,TH
U138,201.33,5,4,KH
U212,200.56,1,3,KE
U479,451.12,4,0,CH
U481,272.17,10,3,EG
U332,259.1,1,0,DE
U119,118.39,10,0,BA
U446,140.05,3,2,HU
U296,482.57,8,2,FR
U200,339.8,7,1,NO
U205,397.46,8,0,MZ
U083,134.77,4,0,BS
U143,119.28,7,5,AG
U003,251.37,1,4,LR
U411,305.28,9,4,DM
U107,167.52,7,4,MM
U388,425.5,4,2,BE
U476,254.45,4,4,NG
U496,395.53,4,2,EC
U430,307.98,10,4,PL
U064,308.71,10,5,FM
U493,288.35,6,0,IQ
U404,491.94,1,4,CU
U233,486.79,7,1,SD
U168,208.74,7,5,TD
U063,200.23,7,5,HU
U120,457.65,8,3,CY
U416,201.93,7,2,GM
U074,107.6,1,5,UG
U446,198.32,6,4,IN
U167,474.06,6,2,MV
U115,403.69,1,0,DO
U021,370.33,9,3,AD
U488,349.08,1,1,TW
U191,133.35,1,1,VA
U486,482.83,6,3,LC
U358,348.63,1,5,AM
U399,229.6,10,3,VU
U014,420,1,3,MU
U133,191.82,9,2,IN
U433,219.88,4,4,LS
U432,118.82,1,0,AF
U313,324.58,7,2,TZ
U356,316.09,10,1,NL
U420,378.16,3,0,AD
U012,194.13,6,1,BH
U342,140.6,1,3,CO
U403,199.03,10,2,CN
U236,111.06,9,0,PY
U232,258.02,1,5,TV
U392,396.48,6,0,BR
U078,207.14,6,5,MM
U487,268.33,7,0,SV
U419,127.25,5,4,DZ
U308,154.09,5,4,BW
U320,433.03,2,0,DZ
U145,467.37,10,0,PL
U177,297.58,10,0,JP
U486,297.53,5,0,CO
U185,487.78,2,3,JO
U264,199.08,3,1,MD
U016,487.89,5,4,BB
U021,320.41,4,1,YE
U321,100.94,7,1,BG
U027,410.36,2,2,LB
U148,450.66,7,2,HN
U158,163.98,1,1,IQ
U444,419.92,6,1,CV
U307,130.71,1,3,TH
U260,186.02,3,2,BT
U376,300.47,10,2,PW
U352,246.83,10,4,CD
U363,112.43,10,5,SI
U170,350.87,1,2,NI
U227,196.18,8,0,GA
U119,139.76,7,5,BS
U184,160.76,2,4,SI
U231,129.28,10,4,GQ
U105,177.94,2,5,ZA
U102,425.48,9,5,PT
U203,257.99,2,4,IN
U150,403.94,5,0,CY
U495,186.74,10,5,TV
U107,126.63,9,4,ET
U212,407.21,4,3,RU
U449,337.46,7,4,RW
U122,170.97,8,5,AU
U160,167.18,9,5,GW
U245,118.2,5,2,WS
U082,197.76,10,2,SE
U168,319.71,1,0,MR
U479,466.06,4,3,HU
U091,293.56,3,4,NE
U169,113.99,2,0,PG
U084,144.96,8,2,BR
U192,348.97,8,2,AM
U252,341.76,5,1,MD
U325,459.03,10,3,SN
U372,479.43,2,4,ZM
U086,139.07,2,4,SE
U330,409.31,8,0,JP
U130,294.38,7,5,TJ
U210,228.08,8,1,NR
U300,461.62,6,2,BD
U232,379,6,2,KG
U072,105.5,1,4,CG
U340,379.66,1,5,PL
U060,376.1,5,2,HU
U158,362.46,4,4,CD
U325,355.54,8,4,UY
U301,400.73,6,1,FI
U298,131.67,4,0,SZ
U412,285.17,2,2,SE
U085,447.53,6,4,BS
U218,437.16,8,2,HU
U401,453.43,6,0,SZ
U275,428.33,3,4,DO
U335,169.67,3,0,WS
U049,217.61,10,4,NZ
U100,223.56,6,0,AL
U229,195.38,1,0,BO
U340,496.48,9,0,ID
U173,413.66,4,3,MZ
U256,304.13,9,4,WS
U425,411.25,7,2,MM
U057,145.49,1,3,ER
U184,465.26,4,4,MH
U006,225.05,10,4,BE
U400,387.51,1,0,MH
U196,221.78,4,4,PW
U321,347.52,7,4,BW
U008,145.43,8,5,SZ
U105,490.55,5,1,EC
U185,123.43,9,1,CU
U488,386.21,7,1,GY
U059,320.98,8,0,RO
U065,104.32,6,3,MK
U489,293.05,7,3,PE
U011,313.22,8,4,SR
U120,174.55,6,1,GH
U128,113.27,4,3,LR
U180,201.81,6,3,ML
U327,118.63,2,2,MV
U332,194.97,6,0,IL
U216,496.51,4,5,UZ
U500,387.6,5,1,SI
U437,103.87,8,5,ZW
U258,447.83,5,0,FI
U296,473.24,4,3,NO
U280,180.84,10,2,NP
U413,350.84,3,0,CO
U264,327.16,8,2,SZ
U334,145.61,1,4,PE
U075,434.95,9,4,ID
U396,167.09,2,4,BE
U469,252.18,3,0,UZ
U059,372.51,1,5,GN
U500,110,8,3,FM
U144,444.45,9,2,ZM
U402,448.17,1,0,OM
U373,185.88,1,4,TD
U477,206.12,4,0,GR
U001,130.43,8,0,TM
U472,193.37,9,3,TM
U219,373.3,2,3,FM
U249,401.65,1,0,CD
U486,174.76,2,0,KP
U052,280.35,1,4,MK
U279,164.07,4,0,CI
U206,159.02,3,3,ST
U034,447.58,1,4,TD
U137,453.62,9,3,CU
U351,135.3,3,2,HR
U040,144.68,4,0,IR
U292,274.66,5,0,AF
U193,325.6,2,2,FJ
U197,390.22,7,4,HU
U193,166.25,1,1,SC
U287,481.83,10,0,BJ
U023,398.05,10,4,AF
U304,166.99,1,3,TO
U209,254.51,10,2,MA
U080,371.85,8,1,BH
U245,140.61,6,5,DJ
U210,402.98,8,3,FR
U264,260.36,9,2,BB
U399,302.21,9,4,AF
U097,145.18,6,2,ET
U199,273.2,2,2,GA
U407,469.2,7,5,CF
U326,417.87,7,2,SI
U377,396.79,2,5,TG
U498,264.57,10,4,LY
U106,154.28,1,1,LI
U168,339.12,8,4,RO
U055,171.81,7,1,JP
U179,138.34,5,0,NG
U453,175.52,5,4,MA
U345,258.79,5,2,IT
U367,202.64,10,5,KZ
U491,167.71,1,3,HN
U166,276.97,5,3,SZ
U077,411.89,4,5,PK
U498,168.25,10,5,AZ
U398,116.32,5,2,GN
U500,329.35,7,2,KH
U342,133.47,2,4,CV
U340,374.31,7,1,DO
U338,472.43,3,2,VN
U485,235.2,3,3,NZ
U158,356.29,3,4,CH
U257,109.26,8,0,SB
U387,478.17,8,1,NI
U215,104.77,3,3,HR
U349,416.78,7,4,EG
U079,131.04,2,4,CD
U169,308.76,1,4,CL
U032,411.72,6,5,MH
U499,124.26,5,0,SA
U131,237.09,1,0,PW
U477,278.94,3,3,IR
U139,418.15,7,5,EG
U423,101.05,1,5,KE
U174,203.78,3,5,SK
U193,227.96,9,4,TW
U418,319.1,5,3,LT
U225,265.14,7,5,KM
U020,295.76,6,5,TM
U034,124.91,6,5,BI
U139,412.67,10,1,MM
U015,301.68,3,1,BZ
U226,274.47,2,0,RU
U493,343.99,9,0,TO
U075,119.8,10,4,PT
U406,102.77,6,3,DZ
U083,362.02,7,0,CZ
U408,190.89,9,5,DJ
U478,109.48,9,1,BT
U161,279.8,7,0,AZ
U279,209.04,5,3,ML
U335,217.65,10,5,RS
U188,116.14,10,4,KN
U429,473.51,4,0,MV
U308,192.92,4,3,KM
U111,231.07,10,5,GB
U477,458.32,8,3,MA
U337,133.68,5,1,NI
U117,461.11,6,1,KN
U032,276.75,4,5,NA
U377,281.82,10,1,KH
U102,337.98,2,2,ZM
U264,277.08,9,2,AM
U248,471.94,1,4,VC
U288,155.02,3,4,NZ
U155,174.96,4,0,TD
U366,110.32,9,0,IQ
U139,438.7,5,5,VN
U026,318.86,9,5,MW
U349,194.5,8,5,VA
U424,104.35,7,4,LS
U070,143.18,2,5,AM
U371,400.56,5,0,LK
U271,125.28,5,1,VN
U187,177.31,5,5,PK
U394,111.08,4,3,KH
U023,458.16,4,3,KH
U358,439.93,8,3,CR
U099,313.67,4,0,CI
U058,129.2,7,2,SC
U103,347.18,1,0,KP
U374,115.82,10,4,IE
U187,111.79,1,0,VC
U310,221.14,9,3,ES
U193,260.49,6,4,MV
U269,125.69,8,2,SC
U188,369.76,6,2,CH
U468,355.21,4,1,GR
U029,432.77,8,2,SG
U448,442.34,10,3,CL
U242,289.85,5,3,BF
U056,131.06,8,3,KI
U134,135.49,7,5,LU
U248,119.61,4,0,CV
U416,257.15,2,0,MX
U028,316.31,9,2,GB
U297,475.66,4,5,SB
U107,443.12,5,1,EC
U382,326.7,3,2,KR
U207,464.94,10,4,CV
U347,322.46,1,3,GR
U001,480.85,1,3,NZ
U396,352.3,3,2,WS
U203,135.83,5,3,SZ
U427,457.69,10,0,BT
U233,414.17,3,1,CO
U383,201.85,8,2,MR
U054,122.4,9,2,GR
U351,395.31,6,2,JM
U192,341.67,3,2,SN
U429,223.16,4,4,LR
U490,219.11,5,2,CY
U200,373.9,7,3,AU
U495,476.01,2,4,CU
U122,316.96,6,5,NG
U088,363.06,2,2,NO
U339,148.19,3,0,VN
U235,124.98,2,4,LU
U005,149.72,7,3,GW
U119,498.72,8,0,MK
U351,479.53,7,2,PA
U304,209.75,1,4,MC
U222,463.51,9,4,FM
U286,379.48,10,0,PG
U157,299.94,7,0,CF
U359,378.08,1,5,SA
U301,285.89,2,5,HR
U172,266.44,1,2,LK
U313,128.49,7,0,BO
U234,444.2,7,5,BA
U406,151.7,6,4,AZ
U338,325.8,9,0,SE
U080,395.12,10,2,CN
U192,138.57,8,2,LC
U440,115.6,9,5,AG
U287,161.31,3,2,CG
U185,137.82,5,2,BT
U354,268.87,3,4,CN
U031,232.44,6,3,BJ
U276,472.79,7,1,MY
U222,293.27,6,5,RW
U172,479.05,9,5,TW
U199,403.35,3,2,BA
U313,116.05,10,1,CV
U263,453.72,4,0,KH
U479,366.19,9,3,CH
U368,322.05,6,2,CD
U152,200.63,5,1,PL
U319,494.07,1,4,LY
U033,482.9,5,4,DK
U051,222.13,5,3,JM
U389,301.92,6,5,VC
U465,164.87,1,1,ST
U154,284.18,4,4,MX
U194,154.39,10,5,SD
U379,444.82,9,0,PT
U255,391.41,7,3,GB
U400,123.73,4,3,IT
U157,466.96,9,3,EE
U422,354.44,4,5,AZ
U423,357.73,5,3,GD
U229,173.03,7,3,SG
U346,207.11,7,2,BG
U369,325.61,10,5,SE
U019,289.72,1,1,LR
U446,194.29,9,2,LV
U130,383.5,2,5,SG
U237,299.54,5,2,NZ
U349,491.39,5,1,CI
U236,482.93,10,0,SC
U131,347.76,9,1,NE
U206,450.56,7,0,CZ
U446,176.07,1,2,TV
U414,351.45,3,3,KW
U373,235.78,10,4,MR
U114,289.04,7,4,ZW
U455,373.78,6,3,PS
U386,106.36,4,0,AL
U085,380.01,3,3,TZ
U287,201.97,9,2,SD
U126,457.71,4,4,IE
U384,344.96,2,0,VU
U030,330.13,6,0,ST
U091,260.35,4,1,UA
U124,269.48,1,2,GY
U139,385.55,8,2,MK
U068,419.96,1,0,NG
U149,223.33,8,3,TD
U372,253.65,10,3,HT
U438,313.49,2,4,MR
U325,206.63,10,1,LV
U013,370.93,1,3,GQ
U470,199.38,5,1,MX
U082,322.89,9,2,SV
U430,227.64,8,0,UA
U473,403.52,9,5,MD
U204,418.43,7,4,CR
U052,238.72,1,3,BN
U352,384.05,2,5,MD
U051,341.12,6,4,PY
U302,321.23,1,0,MW
U416,321.14,9,0,US
U302,364.61,4,4,BT
U391,262.1,4,1,GN
U001,415.61,5,1,BY
U334,162.21,6,3,GQ
U412,199.57,2,0,IL
U486,489.32,3,3,KN
U385,446.61,10,3,BA
U175,432.17,9,1,AU
U090,442.76,3,1,DM
U376,457.98,10,4,SD
U331,475.63,5,5,MA
U029,352.31,6,1,CR
U230,122.61,5,2,BW
U005,141.74,2,1,BF
U414,269.65,9,3,SO
U059,198.34,4,0,ZW
U448,411.82,4,0,BG
U453,146.68,8,3,CR
U204,376.46,9,5,LB
U495,153.28,9,3,SZ
U273,249.76,2,1,BB
U018,375.89,5,3,MU
U314,202.17,8,2,KE
U100,375.61,5,2,BH
U425,237.35,3,4,NE
U185,488.92,6,0,TJ
U154,266.24,1,1,ZW
U010,260.46,8,1,EE
U113,419.88,5,3,MC
U016,311.27,4,0,MA
U007,267.84,9,1,CG
U335,454.76,3,2,BZ
U326,177.98,1,5,PK
U359,283.75,4,2,BH
U410,213.32,10,1,CV
U032,206.54,6,3,GD
U461,245.23,1,0,ST
U032,386.64,1,0,BO
U389,396.08,8,5,LS
U445,453.61,9,4,ZW
U383,477.32,7,1,LT
U162,181.35,8,1,ES
U200,448.51,8,1,SK
U341,473.61,6,5,CR
U393,133.62,6,1,QA
U360,142.1,1,5,ER
U498,235.81,1,5,RW
U273,455.76,6,0,LV
U270,205.99,4,0,HT
U207,496.65,6,1,KW
U052,232.98,8,2,US
U350,356.62,7,5,TT
U112,166.68,1,1,SG
U327,425.18,4,0,VC
U412,352.71,7,2,NZ
U244,312.59,8,5,NG
U100,219.71,4,3,SI
U432,442.52,4,3,AD
U054,407.31,7,5,ET
U190,251.43,2,2,LK
U104,302.27,5,0,TT
U360,459.69,3,3,HR
U243,129.84,5,0,DO
U391,349.62,8,4,ID
U001,149.21,5,5,KI
U456,463.94,2,2,SC
U137,209.24,6,1,CU
U370,296.45,2,1,GW
U316,344.18,7,0,BS
U237,460.83,4,0,AE
U294,364.25,3,2,BF
U467,215.31,10,3,VA
U320,334.65,6,2,BJ
U250,451.38,7,5,FJ
U343,496.28,7,4,HR
U313,169.41,2,1,KH
U482,276.37,5,2,MT
U315,181.72,9,3,SI
U081,185.76,3,1,SV
U266,462.97,5,5,KR
U394,347.33,4,4,BF
U497,452.86,7,3,SE
U028,249.86,5,2,MA
U484,358.06,9,1,NO
U132,424.79,6,5,GQ
U487,244.05,2,0,PE
U313,441.63,8,4,MN
U119,124.46,9,2,TG
U123,226.43,3,4,TR
U132,147.69,8,1,LC
U099,247.43,6,1,TL
U053,477.55,8,3,IN
U285,130.12,8,2,LI
U219,311.61,4,4,AG
U303,442.65,1,1,IL
U414,292.04,7,0,LA
U137,327.53,2,2,HR
U162,466.96,5,1,BS
U443,459.07,7,5,DJ
U024,119.49,1,4,RW
U303,483.14,2,3,MD
U234,425.11,8,2,SD
U294,323.08,5,2,LC
U095,204.03,2,4,PH
U160,396.06,10,3,CY
U074,499.06,7,0,IT
U366,110.28,5,3,DE
U283,301.27,1,3,ZW
U310,156.13,1,1,MV
U395,261.8,1,5,GY
U017,219.94,10,4,HU
U416,480.06,3,1,CL
U023,397.11,6,5,AZ
U369,314.03,7,0,ZA
U002,372.22,9,1,ES
U256,491.39,4,1,MV
U104,475.91,6,1,KH
U256,223.42,10,0,MA
U129,397.91,7,3,MN
U286,495.11,3,4,MR
U443,354.28,8,5,ME
U408,468.37,9,4,MU
U193,352.76,4,0,RO
U291,105.3,9,3,KR
U456,268.29,8,0,EC
U398,397.38,8,0,AE
U492,255.7,8,4,GB
U170,390.16,7,1,AL
U496,251.05,6,0,KM
U217,445.97,5,5,SI
U040,350.66,1,2,FR
U013,196.94,3,2,FJ
U481,278.35,4,3,AM
U443,223.8,5,2,ZM
U252,140.98,8,5,RS
U145,424.82,2,0,BS
U283,419.59,5,1,VA
U474,418.32,6,2,MX
U295,307.55,2,0,ZW
U462,296.43,4,1,NG
U355,482.3,8,0,UA
U486,351.53,5,4,ME
U069,254.3,1,4,CU
U128,103.58,3,1,MR
U199,131.01,9,5,US
U263,409.1,3,1,AL
